Type,Literal meaning,Figurative sentence
Sarcasm,I wasn't generous enough at lunchtime?,Haven't I been generous enough at lunch?
Sarcasm,"Less than five minutes, sir.","In just under five minutes, sir."
Sarcasm,All you have to do is flatter him.,"All you got to do is flatter him. Oh, he's a good kid."
Sarcasm,"When we finally met, I like him.","Now that we've finally met, I love it."
Sarcasm,"wmblob is a useless program, showing moving blobs. It is a nice dockapp for Window Maker and it may run with other window managers.","wmbleb is a useful program that displays moving blocks. This is a nice, dockable Window Maker application that can also be run in other window managers."
Sarcasm,Works better than espresso.,It's way superior to the espresso.
Sarcasm,"All right, that's enough, Jane.","Okay, that'll do, Jane."
Sarcasm,"He's fine, he's watching Countdown.","That's cool, looking at Countdown."
Sarcasm,"No, this cocktail's celebrative.","Oh, this cocktail is celebratory."
Sarcasm,I thought it was funny.,"Well, I think that was funny."
Sarcasm,"I'm still here, am I not?","I'm always here, ain't I?"
Sarcasm,It will be a down payment on a solid investment.,It'll be the first installment of a solid investment.
Sarcasm,This is the correct part of the night.,It's the right time of the night.
Sarcasm,"Okay, I deserved that.","Okay, I've earned it."
Sarcasm,"Aigoo, this is unbelieveable, unbelieveable.","Aigoo, this is incredible, incredible."
Sarcasm,I can't keep waiting. I'm on my own.,"Well, I can't wait anymore, I'm going in."
Sarcasm,He was surprised at how quickly the reassuring effect came.,It was amazing how quickly he felt the calming effect.
Sarcasm,I would like to go inside.,I'd love to come in.
Sarcasm,'It seems to me like it's a no-brainer!,"'I like it ""Without a Brain""!"
Sarcasm,I cannot tell you how excited I am to have the chance to work with you.,I can't tell you how exciting it is for me to be working here with you.
Sarcasm,It's because I want what I want.,For wanting what I want.
Sarcasm,"The captain was a kind man, sir. He gave me a dozen lashes and let the whole matter drop.","The captain's been a nice man, sir. Give me a dozen punches, and that's it."
Sarcasm,I belong with the good ones.,I'm one of the good guys.
Sarcasm,"Devon, we really need to... talk today about the business.","Oh, Devon, this is really what we need... to talk about business today."
Sarcasm,We're having a damn girl!,We're going to have a darn girl!
Sarcasm,You must kill your biggest enemy.,And the greatest enemy you have to kill.
Sarcasm,"Yes, she is a very beautiful, very mundane.","Yes, she's very nice, very down to earth."
Sarcasm,We have a saying.,We've got such a saying.
Sarcasm,"You look inside, and there's only one giant scream.","You look inside, and there's just this great yawning scream."
Sarcasm,Even my dreams are sometimes real.,My dreams are so real sometimes.
Sarcasm,They were in excellent spirits.,They were in a great mood.
Sarcasm,Anna has the prettiest girlfriend.,Anna has the most amazing girlfriend.
Sarcasm,"But they could not complain - they had prospered well at school, and Valentine had a very good effect on Peter.","But they couldn't complain-- their grades were good, and Valentine was such a good influence on Peter."
Sarcasm,It's a lot more than that.,It's so much more.
Sarcasm,We give Harbor a fat donation.,We'll give Harbor a great gift.
Sarcasm,John... we can go.,John... we're good to move.
Sarcasm,I... I respect that.,And I... appreciate it.
Sarcasm,What an accident!My best friends.,"What a coincidence, my best friends."
Sarcasm,"Mom, it's not really...","Mom, isn't that completely..."
Sarcasm,I'm feeling a responsibilityfor what happened to you.,I feel so responsible for what's happened to you.
Sarcasm,She was surprised she had her own bathroom.,Surprised to have her own bathroom.
Sarcasm,I say good-bye from the bottom of my heart.,"From the bottom of my heart, goodbye."
Sarcasm,I always want you to come home.,I'm always happy when you come home.
Sarcasm,"Your life has a strange beginning, Ronja.","Your life gets an auspicious beginning, Ronja."
Sarcasm,Why are you acting so surprised?,What are you so surprised about?
Sarcasm,Yet they are large.,They are still great.
Sarcasm,I liked his work.,I used to love his work.
Sarcasm,So it doesn't matter that I erased half his name?,So it's okay that I wiped half his name off?
Sarcasm,"No, I'd like to hear about it from someone who was acquainted with it.",No. I love to hear from someone who knew him.
Sarcasm,I like her not liking roses.,I love that she doesn't like roses.
Sarcasm,You look murderously beautiful.,You look seriously beautiful.
Sarcasm,Sexologist 2.0 could be a bomb.,Sexologizer 2.0 could be huge.
Sarcasm,I would like to make sure that I get my money's worth.,I'd love to make sure I get my reward.
Sarcasm,"Is that not so, Buzz?","Isn't that right, Buzz?"
Sarcasm,"I cannot thank you enough for your generosity, Emekwi.","Thank you very much for your kindness, Emekwi."
Sarcasm,"I don't want to wait anymore, I can't wait.",I can't wait any longer.
Sarcasm,I'm better than all of you!,Better than the rest of you!
Sarcasm,"Ladies and gentleman, it's a big moment here for America... and one very strange lady, the mother of Whistler.","Ladies and gentlemen, this is a great moment for America, and for one very special lady - Whistler's Mother."
Sarcasm,"He was so quiet, yet so strange.","He was very calm, but so special!"
Sarcasm,You have a pretty name.,That's a nice name.
Sarcasm,Ambitious for one hour.,Pretty ambitious for an hour.
Sarcasm,Why are you laughing?,What are you smiling about?
Sarcasm,We've laid all this heavy work on this...,We've put so much hard work into this...
Sarcasm,"You need to tell Little Chubby, Joy.","You gotta tell that to little Chubby, joy."
Sarcasm,That was a hell of a speech.,It was a damn good speech.
Sarcasm,"You would've had to steal it yourself, and be lucky at the time.","You'd have to steal it from him yourself, and good luck."
Sarcasm,We are almost ready.,We're just about ready.
Sarcasm,A thousand people pass by daily... ...and no one even bothersto look up.,Thousands of people pass through here every day... ...and no one ever bothers to look up. It's magical.
Sarcasm,He was fine. Everything was fine.,"He was great, it was all great."
Sarcasm,It was a big deal for him to even show it to me.,It was a great thing for him just to show me.
Sarcasm,"It happened here in Seattle, it was a party.","Which was actually here in Seattle, was a celebration."
Sarcasm,It is insane how much I miss you.,It's so crazy how I miss you.
Sarcasm,I only want to know...,I'd just like to know...
Sarcasm,"Stay back, back, Barney, for God's sake!","Just stay in there, back, Barney, by God !"
Sarcasm,You're not my-- -Type.,Aren't you mine-- -Type.
Sarcasm,"You know that sounds pretty ridiculous, right?","I mean, you know it sounds pretty funny?"
Sarcasm,"Your fake badges, the cheap suits.","Your phony badges, cheap suits-- that's very cool."
Sarcasm,"Error: %1!s!%2!s! in the xmlToEdit element with name = ""%4!s!""",ERROR: %1!s!%2!s! in xmltoedit naming = %4!s!
Sarcasm,I'd like you to stay.,I'd love it if you stayed.
Sarcasm,"I like this lady, but she's starting to get on my nerves.","I love having the lady here, but she's getting on my nerves."
Sarcasm,"You are an awfully good-looking man, Dennis.","You're a very handsome man, Dennis."
Sarcasm,Sounds really expensive to me.,It sounds pretty full to me.
Sarcasm,Everything seems to be functioning.,Everything's working so far.
Sarcasm,It's stillthe most dangerous thing on my ship.,That's the mostdangerous thing on my boat.
Sarcasm,"This is very, very unusual.","That's, that's very, very unusual."
Sarcasm,We see a lot of pretty things too.,"We see so much nice stuff, too."
Sarcasm,"Best accept it, Colonel.","Best to receive, colonel."
Sarcasm,I find it hard to believe that you're here.,I can't believe you're here.
Sarcasm,"I'm fixing things between Roxanne and Lily, and if you hadn' t come, things would have gotten pretty rough with us three.","I am fixing things between Roxanne and Lily, and, if you hadn't walked in when you did, it could have gotten amazing between the three of us."
Sarcasm,"It's the most selfish thing I'll ever do, even if I live forever.","It's even, if I live for all eternity,the selfiest thing I'll ever do."
Sarcasm,"Her wish, my nightmare.",Her Wish = My Nightmare
Sarcasm,No matter how nice the box is.,Beautiful as that box is.
Sarcasm,"You Serbs define friendship in an odd way, Vladimir.","You Serbians have an interesting way of defining friendship, Vladimir."
Sarcasm,That's awfully lavish of you.,That's very generous of you.
Sarcasm,I really needed that.,This is really what I needed.
Sarcasm,I'm sorry I almost cured an incurable romance.,I'm so sorry for nearly curing an incurable romantic.
Sarcasm,It's set to stun.,It's set for stun-stunning.
Sarcasm,This is a very pretty room.,It's a really nice room.
Sarcasm,This is a delicate procedure.,It's a delicious procedure.
Sarcasm,I know she is fine!,I know that's good!
Sarcasm,"No, brilliant Rani and great, brave Clyde.","Wonderful, brilliant Rani and amazing, plucky Clyde."
Sarcasm,This guitar is ridiculous.,This guitar is unbelievable.
Sarcasm,It was scary how good they were.,Crazy how good they were.
Sarcasm,They buried him in Arlington with all the honours.,Buried at Arlington with full honors.
Sarcasm,It's something new and strange.,Something new and exciting.
Sarcasm,"Ladies and gentlemen, give it up for our friend Demi Lovato.",Please welcome our friend Demi Lovato.
Sarcasm,"It is a good position, is it not?","I mean, it's a good position, right?"
Sarcasm,The biggest trick the devil did is to convince the world it doesn't exist.,The greatest trick the devil ever pulled was convincing the world he didn't exist.
Sarcasm,"So, brothers, you have blown it!","All right, brothers, you've surfaced!"
Sarcasm,I cannot believe you've come.,I can't believe you're here.
Sarcasm,I can not believe you've done such a bold thing.,I can't believe you did something so brave.
Sarcasm,"Yes, I wanted to know.","I wanted to know, yes. Thank you."
Sarcasm,What if I really was crazy?,And how about I'm really crazy?
Sarcasm,It is always a tension.,It's always a stretch.
Sarcasm,I very much like his work.,I love his work.
Sarcasm,I'd like to write to her.,I'd love to text it.
Sarcasm,"Anyway, we're such an odd family.",We're such a special family anyway.
Sarcasm,But the thinking is terrible.,The thinking is terrific.
Sarcasm,This is the one right in the beginning.,"This is her, right at the start."
Sarcasm,I always did like the old one.,I've always liked that old one.
Sarcasm,The first offer is a bargain.,That first offer is decent.
Sarcasm,"If she could make them take fate back into their own hands and swear loyalty to the Acoma, she would gain warriors of inestimable value.","If she could convince them to take their destiny into their own hands again, and to swear loyalty to the Acoma, it would have great value in the warriors."
Sarcasm,Is this a bad time?,Isn't that a good time?
Sarcasm,"It is very hot in here this morning, Adele.","Very warm this morning, Adele."
Sarcasm,Don't shoot! It's me!,"Hold your fire, that's me!"
Sarcasm,He is open and frank.,He's open and honest.
Sarcasm,Do you care about answers for the queries we most often get on-line reservations?,Interested in the answers to the most frequently asked questions related to online booking?
Sarcasm,"In fact, right now is the time.","Actually, now is the perfect time."
Sarcasm,I think I want to be a cop.,I guess I like being a cop.
Sarcasm,I've been awfully surprised.,I was so surprised.
Sarcasm,They have the most selective taste I've ever seen in my life.,They may have the most exquisite taste I've ever seen.
Sarcasm,We cannot wait much longer for them.,We can't wait for them much longer.
Sarcasm,All because of my dreams.,And all thanks to your dreams.
Sarcasm,Your penis is so thick.,Your dick is so strong.
Sarcasm,I told you he'd come to his senses.,Told you she'll come to her senses.
Sarcasm,"There's nothing, I'm sorry.","There isn't anything here, so sorry."
Sarcasm,My eyesight is keen.,My sight is perfect.
Sarcasm,He is my best friend.,Best friend of mine.
Sarcasm,I was looking forward to my embolectomy.,And I've looked forward to my embalectomy.
Sarcasm,I think you will approve.,I think you'll appreciate that.
Sarcasm,I'm crazy to see yours.,I can't wait to meet yours.
Sarcasm,It's best if you meet and discuss it yourselves.,The best thing is for you to meet and discuss this together.
Sarcasm,"Mike, we can'thount waiting.","Mike, we can't wait."
Sarcasm,You should feel proud of your progress.,"That's wonderful, and you should be proud of your progress."
Sarcasm,No such thing as a Broadway show,Nothing like a Broadway show
Sarcasm,You can't talk about your big secret plan in front of me because I'm a girl? No.,Can't you just be talking to me about your big secret plan because I'm a girl?
Sarcasm,"His Majesty seemed calm, but that's madness!",His Majesty seemed very calm today - How crazy!
Sarcasm,I'm anxious to hear about Scott and Kristy.,I can't wait to hear what happens with Scott and kristy.
Sarcasm,I do so wonder that you should not be married so charming as you are.,I'm surprised you're not married yet. You're so charming.
Sarcasm,"I'm sorry, Michael, she said, ""but you are the part of this evening that is the most unreal.","I apologize, Michael, she said, ""but you're the most amazing part of the evening."
Sarcasm,You have to be excited.,You must be thrilled.
Sarcasm,"A man of action, are you not?","You're a man of action, aren't you?"
Sarcasm,You are so unbelievably beautiful.,You're so incredibly beautiful.
Sarcasm,"If you're a poker player, a real poker player, there is no such thing as luck.","If you are the poker player, the real poker player, there's nothing like happiness"
Sarcasm,She has made significant progress.,She's made remarkable progress.
Sarcasm,"We blew up this weekend at Langley Falls because of our host, Scoth Bingeington, new King of Spring Break.","We've had a blast this week in Langley Falls... thanks to our host, Scotch Bingeington, the new king of spring break!"
Sarcasm,That's how much I lost growing up in the town.,I missed so much growing up in a city.
Sarcasm,"Oh, and it's not, maybe, a good opportunity...","Well, isn't this, perhaps, a nice opportunity to..."
Sarcasm,"I have a strange heart, like no one else.","A very special heart, like no other."
Sarcasm,This is all very ridiculous.,It's all very funny.
Sarcasm,"Defaults, activation of Budget guarantees and arrears 4.1.","Outstanding payments, actiVation of budgetary guarantees and Arrears 4.1."
Sarcasm,There's a lot you need to learn.,There's so much to learn.
Sarcasm,You'll fall in love with him.,You are going to love it.
Sarcasm,So it's... really scary.,So it's... It's really intimidating.
Sarcasm,"You don't like the big, thick strings, Beryl?","Oh, don't you just love those big, fat chords, Beryl?"
Sarcasm,My dad only used to say nice things about you.,My father always said nice things about you.
Sarcasm,But is that not the kind of thing that makes it a great restaurant?,But isn't that what makes a great restaurant?
Sarcasm,"I don't believe you were with Jack Bauer, mining data.",Can't believe you andJack Bauer were processing data.
Sarcasm,Rome is a family of mine.,Rome is my family!
Sarcasm,He has no idea of its true value.,She doesn't have a clue as to its true value. thank you.
Sarcasm,"Hank, you've been a hell of a friend.","Hank, you been a damn good friend to me."
Sarcasm,"No, I like to hear you speak.","No, I love listening to you talk."
Sarcasm,"Here in Beaver Mills, I like her a lot.",I like it just fine here in Beaver Mills.
Sarcasm,"That's the whole point of this game-- something personal, preferably embarrassing.","That's what this entire play means-- something personal, best awkward."
Sarcasm,But the challenges that the new state now faces are terrible.,But the challenges facing the new state are awesome.
Sarcasm,"I don't have a plan, but people get a kick out of saying it.","I haven't got a plan, but people love it when I say that."
Sarcasm,Today has been very emotional for you.,Today was very emotive for you.
Sarcasm,"At least,I think it's awful for my patients.","At least, I think, for my patients it's terrific."
Sarcasm,I cannot believe I lost this.,I can't believe I missed that.
Sarcasm,Perhaps a little too much. I do not know.,"Maybe too good, I don't know."
Sarcasm,"They make me very proud, but they never found out.","I'm so proud of them, but they'd never know it."
Sarcasm,'It is well to know you trust us.',It's good to know that you have faith in us.'
Sarcasm,But that's life: luxuries always come too late.,But that was life: nice things always come late.
Sarcasm,We can go home now.,We're good to go home.
Sarcasm,The security will be overwhelming.,Security will be perfect.
Sarcasm,She was my only happiness.,She was just my luck.
Sarcasm,Now was the time!,Now the time is right!
Sarcasm,You have been kind to me.,You're nice to me.
Sarcasm,I... cannot wait any longer.,I... it can't wait.
Sarcasm,Would you have believed it?,Can you believe that?
Sarcasm,You can't buy your own chicken wings?,Can't you just be able to get your own chicken wings?
Sarcasm,"Because, I needed to see him.",'Cause I just needed to see this guy.
Sarcasm,There was nothing Gabrielle enjoyed as much as shopping.,Nothing Gabrielle enjoyed more than shopping.
Sarcasm,So is killing Katherine or shutting down emotions.,"Just like killing Katherine, just like turning your emotions off."
Sarcasm,I would like to get them to Lew... ...before they hang him.,I'd love to give them to Lew before he hangs.
Sarcasm,You are so certain that you are right.,You're so sure you're right.
Sarcasm,And... And it was cold... to the touch.,And she was so cool... at the touch.
Sarcasm,It appears that your gamble paid off.,Looks like your bet paid off.
Sarcasm,"However, I do like the shirt.","By the way, I like your shirts."
Sarcasm,It was a big project that required the writing of tens of thousands of lines of code.,It was a great project and had to write thousands of lines of code.
Sarcasm,I'm sorry if it seems to you an anti-climax after all your extraordinary feats of deduction.,"I'm so sorry that after all your great deductions, this sounds like anticlimax to you."
Sarcasm,Biggest actress of her era.,The greatest actress of her time.
Sarcasm,They were too good in there.,They're very good there.
Sarcasm,"Gentlemen, we are faced with an historic moment.","Ladies and gentlemen, This is a historic moment."
Sarcasm,"Is that not beautiful, Brit?","Isn't it pretty, Brit?"
Sarcasm,Officer Donny is still carrying out his duties as a good cop.,Officer Donny's still on duty and he's one of the best policemen.
Sarcasm,This entire hotel is my land.,The whole hotel is my world.
Sarcasm,"It was outrageous to keep the lady of the house from what was, after all, one of her proper duties.","It was admirable to keep the mistress and the house from doing what was, after all, part of one of her responsibilities."
Sarcasm,It is a shrewd observation.,That's a very keen observation.
Sarcasm,"No, I much prefer The Invisible Man or Showboat.","Well, my favorite thing is ""Invisible Man"" or ""Showboat."""
Sarcasm,My wife and I are very fond of this little boy.,"My wife and I, we love this little boy."
Sarcasm,You had a point.,You were absolutely right.
Sarcasm,"If you catch sight of them, do not shout, aah!","When you see them, don't scream, huh!"
Sarcasm,It looks like a big hamster.,He seems like such a great hamster.
Sarcasm,"Patience, I know, I know.","Patience, all right, all right, all right, I know."
Sarcasm,This place is unreal.,This place is incredible.
Sarcasm,You are the same as my man.,You're just like my husband.
Sarcasm,"Okay, I just arrived, so inconvenience.","Well, I've only just arrived, so tough."
Sarcasm,"Oh, what's that stink!","Oh, what a smell!"
Sarcasm,"Oh, Fi It's not all easy, is it?","Oh, Fi Isn't that simple, huh?"
Sarcasm,At least the sight of their target.,A view of their destination at last.
Sarcasm,She's embarrassed. It's normal.,"It's cramped, that's natural."
Sarcasm,But I could not have waited that long.,But I couldn't wait all that time.
Sarcasm,He couldn't have been that surprised.,Couldn't be so surprised.
Sarcasm,There's big doings at the officers' club tonight.,There will be great things going on at the Officers' Club tonight.
Sarcasm,"People have no idea how hard they work and what they come up with, and they make it funny every single week.","People have no way of knowing how hard they're working and what they're coming up with, and they make this show so much fun every week."
Sarcasm,During the summer I spent blissfully long days with my friend.,Throughout the summer I spent great long days with my friend.
Sarcasm,"And that's not yet the end of good news, believers.","And there's even more good news, believers."
Sarcasm,"When that happens, as when Bella entered my life, it is a permanent change.","When it comes to it, as it did to me When bella came into my life, Is a lasting change."
Sarcasm,"So, the survival of just one could have huge consequences.","So, saving just one of them can have a huge impact."
Sarcasm,No better than it when it's fresh.,Nothing better than when they're fresh.
Sarcasm,It boggles the mind. You will be able to spend Christmas in New York and...,It's warm in mind. It'll be possible To spend Christmas in new york and...
Sarcasm,"And when you crawl well, I feel unreal, something between ballet and gymnastics.",When you're climbing well it just feels brilliant. It's like a combination between ballet and gymnastics.
Sarcasm,This was intended to be a happy occasion in which the winning candidate again thanked the Genius who had asked him to apply for office.,"It was to be a joyful occasion, the conquering candidate once again thanking the genius who'd asked him to run."
Sarcasm,Only that Zalachenko was cooperating and that the information obtained from him was priceless.,Just that Zalachenko cooperated and that the information he gave us was invaluable.
Sarcasm,We've reached the limit of genetic manipulation.,We have reached the finest boundaries of genetic manipulation.
Sarcasm,"It was quite a breach, really.","Was quite a breakthrough, really."
Sarcasm,"We cannot wait, however.",But we can't wait.
Sarcasm,"With Mallory gone, I am happy to report I am the last of my kind.","Now that Mallory's gone, I'm pretty excited to be the last of my species."
Sarcasm,We've received from Lady Catherine invitations for Rosings.,We received an invitation to Rosings from Lady Catherine. How wonderful!
Sarcasm,My world has shaken hard.,My world is well and truly rocked.
Sarcasm,Even I will want to be generous.,I'm willing to be very generous.
Sarcasm,You should go see your father before it's too late.,It's good that you go visit your dad before it's too late.
Sarcasm,Do not wait up for me.,Don't wait for me.
Sarcasm,Here we're faced with a staggering set of coincidences.,We've come across an incredible coincidence.
Sarcasm,I have to start early to get my best candy.,Got to start early to get the best sweets.
Sarcasm,"All of it is yours, captain.","She's all yours, Captain."
Sarcasm,I saw one night as a chippendales dancer.,I had one amazing night as a Chippendales dancer.
Sarcasm,That is an odd name.,That's a curious name.
Sarcasm,"However, I like Toby to arrange his meeting this afternoon.","Anyway, I'm glad Toby organized your meeting this afternoon."
Sarcasm,I think we helped create something very strange.,I think that we've really helped to create something very special.
Sarcasm,"I told you, I'm working as fast as I can.","Told you, I'm working at the fastest possible pace."
Sarcasm,I only gave myself five minutes of quality sleep.,Just got five minutes of quality sleep.
Sarcasm,I feel innocent now.,I just feel so innocent right now.
Sarcasm,"And take care, this is the most expensive gift you'il ever receive.","And be careful, that's the most valuable present you'll ever get."
Sarcasm,"That is rather presumptuous, don't you think?","It's rather daring, don't you think?"
Sarcasm,"You know, I always wanted to be a dad which is fucking ridiculous when I think about it.","See, I've always wanted to be a dad, and that's damn funny when I thought about it."
Sarcasm,"No, which is why I never go to church, where you hear the strangest things.","No, it's not, and that's exactly why I never go to church. One always hears the most extraordinary things."
Sarcasm,It was time for them to show up on their renewal training.,It was about the right time for them to show up for refresher training.
Sarcasm,"Oh, my God, it's on my hands!","My goodness, I've got it on my hands!"
Sarcasm,"Free-range chickens are so pushy, aren't they?","Free-breeding chicks are so ambitious, aren't they?"
Sarcasm,"There is new evidence suggesting the efficacy and the safety of amiodarone in treatment of atrial fibrillation and preferable to the quinidine sulphate alternative; it is potent for various types of arrhythmia, such as ventricular arrhythmia.",New evidence that amiodarone is effective and safe in atrial fibrillation and better than alternative quinidine sulphate; effective for different types of arrhythmias including ventricular arrhythmias.
Sarcasm,"Cheap tin, thermals too low.","Cheap tin, temperatures all too cool."
Sarcasm,It was a terrible shock to me.,This has been such a shock to me.
Sarcasm,She is still a handsome woman.,She's still an appealing woman.
Sarcasm,Full implementation of this policy approach at European and national levels is critical to ensure our future competitiveness and to increase our growth potential.,Fully implementing this approach at European and national level is key in ensuring our future competitiveness and raising potential for growth.
Sarcasm,"It's a very quiet place, you know.","You know, it's a very calming place."
Sarcasm,You've already made me money.,"Oh, you've earned me money already."
Sarcasm,I value your feelings and emotions.,I appreciate your emotions and your emotions.
Sarcasm,Gilroy Libbs has a big scary side.,Gilroy Libbs is kind of awesome.
Sarcasm,"It astonishes me to see Mr. Warren enjoying your company, Madam!","I'm surprised to see Mr. Warren enjoy your company, ma'am!"
Sarcasm,"Is this not better, George?","Isn't this better, Georgi?"
Sarcasm,I can't believe they wouldn't let you sing with them.,Can't believe they didn't just have you singing alongside them.
Sarcasm,"I wouldn't have told you this at the Hospital, but this can't be waiting.","Well, I hadn't planned to tell you this in the hospital, but it can't wait."
Sarcasm,Found it on such a peculiar day.,I found him on such a special day.
Sarcasm,"My son never went around to stray cats, and was extremely gentle with orphans.",My son could never pass stray cats and was so good to the orphans.
Sarcasm,It's a better fate than what the D'Harans will do to you if they catch you.,This is so much better than what the d'harans are gonna do to you Ifthey catch you.
Sarcasm,She's on a big tour.,He's on a tremendous tour.
Sarcasm,"I don't understand what Berta is always complaining about, it's a lot of entertainment!",I don't know what Berta's always complaining about. This is fun.
Sarcasm,"So, protocol is unbelievably thorough.","So, recall protocol is incredibly thorough."
Sarcasm,Our most priceless jewel.,Our most valuable gem.
Sarcasm,"That didn't make it a better idea, only prettier.","Doesn't make it a better idea, just a nicer one."
Sarcasm,"But I can't seem to help myself, which leads me to believe that, despite my best efforts, maybe I haven't changed.","But I just can't help myself, which makes me think I just ain't changed, for all my best efforts."
Sarcasm,I'm going home now. It's best for me.,"I'm going home, that's the best thing I can do for me."
Sarcasm,"He was self-confident and powerful, admired by all.",He was confident and strong. Admired by all.
Sarcasm,The big players have big personalities.,Grand players - great personalities.
Sarcasm,I still like to come here.,And I still love coming here.
Sarcasm,You didn't like it?,Didn't you like that?
Sarcasm,I have some rather curious news.,I've got some pretty interesting news.
Sarcasm,Corruption keeps us safe and warm!,He's keeping us safe and warm!
Sarcasm,"Bad habit, don't you think?","Nice habit, doesn't that sound like?"
Sarcasm,"I don't believe you've ever been a very good girl, Deirdre.","Well, Deirder, I can't believe you ever were a good girl."
Sarcasm,"God, I miss it.","Oh, God, I missed that."
Sarcasm,"Patience, my young apprentice.","patience, my young trainee."
Sarcasm,Relationships are like bridges.,And relationships are just like bridges.
Sarcasm,Sell me this pen.,Sell me this pen. it's a nice pen.
Sarcasm,I'm finding it hard to believe that we've gotten this far.,I can't believe we got this far.
Sarcasm,A highly effective and debilitating drug.,Highly effective paralyzing drug.
Sarcasm,"Not enough excitement for one night for you, Captain?","Wasn't that exciting enough for you to have one night, Captain?"
Sarcasm,"We're very resistant people, Miss...","Well, we're very resilient people, miss..."
Sarcasm,"But they are only a small, negligible part of the universe.",But these are just the tiniest part of the universe.
Sarcasm,It's hard to believe this is my first book.,I can't believe that this is my first book.
Sarcasm,His technique was impeccable.,"Anyway, his technique is perfect."
Sarcasm,You think you're making a problem for me?,"I love that, Do you think you're giving me trouble?"
Sarcasm,You have a cruel sense of humor.,You've got such a great sense of humour.
